Vertex,ID,OD,IDW,ODW,IDC,ODC,BC,CC,KC,PR,Hub,Authority,LCC,EC,Botnet
35,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
36,1,0,26,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
37,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
38,1,1,18,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
39,1,0,0,4,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
40,1,0,6,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
41,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
42,1,0,16,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
43,1,0,0,3,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
44,1,0,20,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
45,1,0,0,8,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
46,1,0,6,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
47,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
48,1,0,6,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
49,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
50,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
51,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
52,1,0,12,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
53,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
54,1,0,24,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
55,1,0,0,9,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
56,1,1,18,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
57,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
58,1,1,0,5,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
59,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
60,1,1,0,3,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
61,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
62,1,1,6,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
63,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
64,1,1,0,6,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
65,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
66,2,1,6,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
67,23,40,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0,NONBOTNET
68,1,0,14,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
69,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
70,1,1,84,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
71,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
72,1,1,8,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
73,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
74,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
75,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
76,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
77,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
78,1,1,36,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
79,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
80,1,1,12,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
81,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
82,1,1,6,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
83,1,1,0,3,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
84,1,1,10,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
85,1,1,0,5,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
86,1,0,17138,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
87,1,1,0,7431,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
88,1,1,10,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
89,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
90,1,0,0,88,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
91,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
92,1,1,0,1,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
93,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
94,1,1,0,84,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
95,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
96,1,1,0,55,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
97,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
98,1,0,0,45,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
99,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
100,1,0,12,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
101,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
102,1,0,0,430,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
103,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
104,1,1,4108,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
105,1,0,0,1493,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
106,2,0,106,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
107,9,62,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0,NONBOTNET
108,1,0,6,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
109,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
110,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
111,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
112,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
113,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
114,1,0,1148,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
115,1,0,0,727,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
116,1,0,10,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
117,1,0,0,4,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
118,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
119,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
120,1,0,206,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
121,1,0,0,67,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
122,1,0,10,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
123,1,0,0,3,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
124,1,0,308,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
125,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
126,1,0,326,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
127,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
128,1,1,252,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
129,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
130,1,0,44,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
131,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
132,1,0,80,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
133,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
134,1,0,20,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
135,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
136,1,0,8,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
137,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
138,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
139,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
140,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
141,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
142,1,0,12,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
143,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
144,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
145,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
146,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
147,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
148,1,0,0,148,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
149,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
150,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
151,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
152,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
153,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
154,1,0,14,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
155,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
156,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
157,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
158,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
159,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
160,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
161,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
162,1,0,10,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
163,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
164,1,0,5,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
165,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
166,1,0,468,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
167,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
168,2,0,12,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
169,23,145,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0,NONBOTNET
170,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
171,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
172,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
173,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
174,1,0,4,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
175,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
176,1,1,142,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
177,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
178,1,0,692,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
179,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
180,1,0,4,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
181,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
182,1,0,358,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
183,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
184,1,0,4,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
185,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
186,1,0,2,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
187,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
188,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
189,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
190,1,1,6,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
191,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
192,1,0,14,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
193,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
194,1,1,344,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
195,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
196,1,0,28,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
197,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
198,1,1,6,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
199,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
200,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
201,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
202,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
203,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
204,1,0,12,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
205,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
206,1,0,6,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
207,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
208,1,0,162,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
209,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
210,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
211,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
212,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
213,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
214,1,1,2,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
215,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
216,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
217,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
218,1,0,8,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
219,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
220,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
221,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
222,1,1,78,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
223,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
224,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
225,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
